epoch,train_loss,train_psnr,train_ssim,train_budget,train_mono,grid_avg_psnr,mono_score
1,0.020394,26.1517,0.799124,0.000820,0.000025,25.7622,0.8333
2,0.019944,26.2541,0.802680,0.000805,0.000026,25.8054,0.6667
3,0.020138,26.1866,0.800939,0.000776,0.000025,25.7149,0.8333
4,0.020216,26.1841,0.800589,0.000746,0.000023,25.7838,0.6667
5,0.020489,26.1363,0.798458,0.000802,0.000025,25.8382,0.6667
6,0.020325,26.1878,0.799958,0.000814,0.000025,25.5734,1.0000
7,0.020251,26.1967,0.800143,0.000759,0.000025,25.8517,0.6667
8,0.020579,26.1167,0.797720,0.000805,0.000022,25.8163,0.6667
9,0.020272,26.1962,0.800179,0.000763,0.000024,25.7409,0.6667
10,0.020289,26.1809,0.799816,0.000717,0.000024,25.5928,0.6667
11,0.020188,26.2145,0.800824,0.000651,0.000024,25.7609,0.6667
12,0.020063,26.2351,0.801555,0.000797,0.000025,25.7714,0.6667
13,0.020202,26.1934,0.800339,0.000717,0.000024,25.8267,0.5000
14,0.020135,26.2306,0.801121,0.000673,0.000024,25.7818,0.5000
15,0.020385,26.1646,0.799049,0.000698,0.000024,25.8674,0.5000
16,0.020457,26.1440,0.798640,0.000657,0.000024,25.7374,0.5000
17,0.020108,26.2247,0.801156,0.000628,0.000025,25.6922,0.6667
18,0.019979,26.2510,0.802305,0.000593,0.000025,25.6160,1.0000
19,0.020161,26.2199,0.800965,0.000649,0.000024,25.8482,0.5000
20,0.020284,26.1945,0.799956,0.000669,0.000024,25.9003,0.5000
